 4.70	1.15  3.0
 6.54 1.12  3.0
 6.37 0.857  3.0
 7.23	0.789  3.0
 8.08	0.661  3.0
 8.95 0.480  3.0
 9.82 0.322  3.0
10.69 0.296  3.0
11.56 0.262  3.0
 7.46 0.731  3.0
 8.15 0.673  3.0
 9.02 0.480  3.0
 9.89 0.310  3.0
10.76 0.289  3.0
11.63 0.277  3.0
12.52 0.201  3.0
13.38 0.112  3.0
14.27 0.0872  3.0
15.14 0.101  3.0
16.02 0.0902  3.0
16.90 0.0558  3.0
17.78 0.0251  3.0
19.54 0.0366  3.0
20.42 0.0271  3.0
21.28 0.0178   3.7
22.16 0.00744  6.2
23.05 0.00716  6.9
23.93 0.0115   5.9
24.79 0.00977  6.8 
17.74 0.0244     3.0
18.43 0.0223   3.0
19.33 0.0331  3.0
20.21 0.0325  3.0
21.07 0.0230  3.0
21.95 0.00705  3.0
22.84 0.00537  3.0
23.72 0.00932  3.0
24.59 0.0108  3.0
25.46 0.00603  3.0
26.34 0.00198  4.5
27.22 0.000797  7.6
28.09 0.00230   4.7
28.96 0.00311   4.4
29.85 0.00212   5.6
30.70 0.000653  11
31.58 0.0000812  32
32.44 0.000312  17
33.33 0.000651  13
34.19 0.000582  14
35.06 0.000325  20
34.92 0.000377  10
35.64 0.000150  10
36.52 0.0000089  40
37.38 0.0000525  10
38.25 0.000139   10
39.09 0.000157   10
39.97 0.000115  10
40.83 0.0000268  30
41.68 0.0000037  60
42.54 0.0000209  30
43.41 0.0000203  30
44.26 0.0000168  30
